institution,program_name,credential,admission_type,source_url
MacEwan,Police Studies,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/police-studies/
MacEwan,Political Science (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-political-science/
MacEwan,Political Science Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-political-science/
MacEwan,Professional Communication (Major),Bachelor of Communication Studies,,https://calendar.macewan.ca/programs/degree-programs/bcs-professional-communication/
MacEwan,Professional Communication Minor,Minor,,https://calendar.macewan.ca/programs/min-bcs-professional-communication/
MacEwan,Property Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-property-management/
MacEwan,Psychiatric Nursing,Bachelor of Psychiatric Nursing,,https://calendar.macewan.ca/programs/degree-programs/bpn-psychiatric-nursing/
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-psychology/
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Science,,https://calendar.macewan.ca/programs/degree-programs/bsc-psychology/
MacEwan,Psychology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-psychology/
MacEwan,Public Relations,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/public-relations/
MacEwan,Public Relations (Major),Bachelor of Communication Studies,,https://calendar.macewan.ca/programs/degree-programs/bcs-public-relations/
MacEwan,Recording and Production (Major),Bachelor of Music,,https://calendar.macewan.ca/programs/degree-programs/bmus-recording-production/
MacEwan,Social Work,Bachelor of Social Work,,https://calendar.macewan.ca/programs/degree-programs/bsw-social-work/
MacEwan,Social Work,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/social-work/
MacEwan,Sociology (Major/Minor/Honours),Bachelor of Arts,,https://calendar.macewan.ca/programs/degree-programs/ba-sociology/
MacEwan,Sociology Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-sociology/
MacEwan,Songwriting Minor,Minor,,https://calendar.macewan.ca/programs/min-bmus-songwriting/
MacEwan,Spanish Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-spanish/
MacEwan,Spanish Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-spanish/
MacEwan,Speech Language Pathologist Assistant,Diploma,,https://calendar.macewan.ca/programs/certificates-diplomas/speech-language-pathologist-assistant/
MacEwan,Statistics Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-statistics/
MacEwan,Studio Arts (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-studio-arts/
MacEwan,Supply Chain Management (Major),Bachelor of Commerce,,https://calendar.macewan.ca/programs/degree-programs/bcom-supply-chain-management/
MacEwan,Supply Chain Management Minor,Minor,,https://calendar.macewan.ca/programs/min-bcom-supply-chain-management/
MacEwan,Sustainability Studies,Certificate of Achievement,,https://calendar.macewan.ca/programs/certificates-achievement/sustainability/
MacEwan,Theatre Production (Major),Bachelor of Fine Arts,,https://calendar.macewan.ca/programs/degree-programs/bfa-theatre-production/
MacEwan,Travel and Tourism,,,https://calendar.macewan.ca/programs/certificates-diplomas/travel/
MacEwan,Urban Wellness Minor,Minor,,https://calendar.macewan.ca/programs/min-babs-urban-wellness/
MacEwan,pimâcihisowin Foundation Program (PFP),,,https://calendar.macewan.ca/programs/university-entrance/foundation-pimacihisowin/
NAIT,1. Application,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-1-complete-an-apprenticeship-application-c
NAIT,2. Schedule,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-2-find-training-start-and-end-dates
NAIT,3. Register,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-3-register-for-training
NAIT,4. Create Account,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-4-create-a-mynait-portal-account
NAIT,5 programs receive government funding for expansion,,,https://www.nait.ca/nait/about/newsroom/2022/5-programs-receive-government-funding-for-expansio
NAIT,5. Confirmation,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-5-wait-for-registration-confirmation
NAIT,6. Get Set Up,,,https://www.nait.ca/nait/schools-programs/school-of-skilled-trades/applying-for-apprenticeship-programs/step-6-get-set-up-on-campus
NAIT,AI and Data Governance for Innovation and Impact,Certificate,,https://www.nait.ca/nait/continuing-education/programs/ai-and-data-governance-certificate
NAIT,AI-Driven Project Management,,,https://www.nait.ca/nait/continuing-education/programs/ai-driven-project-management
NAIT,AWS Academy Cloud,,,https://www.nait.ca/nait/continuing-education/programs/computer-training-centre/aws-academy-cloud-foundations
NAIT,About,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/mawji-centre/about
NAIT,Accomplishments,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/nait-olympic-culinary-team/accomplishments
NAIT,Advanced Healthcare Leadership,,,https://www.nait.ca/nait/continuing-education/programs/advanced-healthcare-leadership
NAIT,Advanced Machining Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach206-advanced-machining-centre-programming
