institution,program_name,credential,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,source_url
MacEwan,Business Intelligence Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-business-intelligence/
MacEwan,Cybersecurity Studies Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-cybersecurity-studies/
MacEwan,Digital Experience Design Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-digital-experience-design/
MacEwan,Economics Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-economics/
MacEwan,Finance Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-finance/
MacEwan,French Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-french/
MacEwan,Human Resources Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-human-resources-management/
MacEwan,Innovation and Entrepreneurship Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-innovation-and-entrepreneurship/
MacEwan,International Business Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-international-business/
MacEwan,Journalism Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-journalism/
MacEwan,Legal Studies in Business Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-legal-studies-in-business/
MacEwan,Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-management/
MacEwan,Marketing Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-marketing/
MacEwan,Political Science Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-political-science/
MacEwan,Property Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-property-management/
MacEwan,Psychology Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-psychology/
MacEwan,Sociology Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-sociology/
MacEwan,Spanish Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-spanish/
MacEwan,Statistics Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-statistics/
MacEwan,Supply Chain Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-supply-chain-management/
MacEwan,Digital Experience Design Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-digital-experience-design/
MacEwan,Film Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-film/
MacEwan,Graphic Design Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-graphic-design
MacEwan,Graphic Design Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-graphic-design/
MacEwan,Journalism Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-journalism/
MacEwan,Professional Communication Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcs-professional-communication/
