Institution,Program,Credential_Type,Min_Avg_Final,Competitive_Final,English_Req,English_Min,Math_Req,Math_Min,Social_Req,Social_Min,Science_Req,Science_Min,Elective_Qty,Elective_Pool,Status,Eng_Req,Eng_Min,Eng_30_2_Allowed,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D
MacEwan,Legal Studies in Business (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Legal Studies in Business Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Library and Information Technology,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Management (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Marketing (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Marketing Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Marketing Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Massage Therapy,Other,60,Minimum Only,30-1 or 30-2,65,,50,,50.0,Bio 30,50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Mathematical Sciences (Major),Degree,80,Mid-70s,30-1,65,30-1 or 30-2,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Mathematics (Major/Honours),Degree,80,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Minors - Bachelor of Arts,Degree,65,Mid-70s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Minors - Bachelor of Commerce,Degree,65,Mid-70s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Minors - Bachelor of Science,Degree,65,Mid-70s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Minors - Fine Arts and Communication,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Music Career Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
