program_name,program_href,program_url_seed,requirements_url,seed_source
Human Resources Management,/academics/academic-departments/management-organizations/academics/hrmt-major/,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/hrmt-major/,,macewan-link-list-element
Insurance and Risk Management,/academics/programs/business-management/academics/insurance-risk-management/,https://www.macewan.ca/academics/programs/business-management/academics/insurance-risk-management/,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,macewan-link-list-element
International Business,/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-honours/,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-honours/,,macewan-link-list-element
International Business,/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-major/,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-major/,,macewan-link-list-element
Journalism,/academics/programs/bachelor-of-communication-studies/academics/journalism-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/academics/journalism-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,macewan-link-list-element
Legal Studies in Business,/academics/academic-departments/international-business-marketing-strategy-law/academics/legal-studies-in-business-major/,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/legal-studies-in-business-major/,,macewan-link-list-element
Library and Information Technology,/academics/programs/library-and-information-technology/,https://www.macewan.ca/academics/programs/library-and-information-technology/,https://www.macewan.ca/academics/programs/library-and-information-technology/admissions/requirements/index.html,macewan-link-list-element
Management,/academics/academic-departments/management-organizations/academics/mgmt-honours/,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/mgmt-honours/,,macewan-link-list-element
Management,/academics/academic-departments/management-organizations/academics/mgmt-major/,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/mgmt-major/,,macewan-link-list-element
Marketing,/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-honours/,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-honours/,,macewan-link-list-element
Marketing,/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-major/,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-major/,,macewan-link-list-element
Massage Therapy,/academics/programs/massage-therapy/,https://www.macewan.ca/academics/programs/massage-therapy/,https://www.macewan.ca/academics/programs/massage-therapy/admissions/requirements/index.html,macewan-link-list-element
Mathematical Sciences,/academics/academic-departments/mathematics-statistics/academics/mathematics-sciences-major/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-sciences-major/,,macewan-link-list-element
Mathematics,/academics/academic-departments/mathematics-statistics/academics/mathematics-honours/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-honours/,,macewan-link-list-element
Mathematics,/academics/academic-departments/mathematics-statistics/academics/mathematics-major/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-major/,,macewan-link-list-element
Music,/academics/programs/bachelor-of-music/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-music/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Music Theatre Performance,/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,macewan-link-list-element
Office Assistant,/academics/programs/office-assistant/,https://www.macewan.ca/academics/programs/office-assistant/,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,macewan-link-list-element
Office Assistant - Administrative,/academics/programs/office-assistant/academics/administrative-major/,https://www.macewan.ca/academics/programs/office-assistant/academics/administrative-major/,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,macewan-link-list-element
