program_name,program_url,program_type,faculty,college,campus,language,seed_source,fetched_at_utc
Psychology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-psychology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Psychology and Mental Health,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-psychology-and-mental-health.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Radiation Therapy,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-radiation-therapy-radiation-therapy.html,General / Major,Medicine and Dentistry,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
"Recreation, Sport and Tourism",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-recreation-sport-and-tourism-recreation-sport-and-tourism.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Religious Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-religious-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Science politique,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-science-politique.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
"Science, Technology and Society",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-science-technology-and-society.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences biologiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-sciences-biologiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences biologiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-sciences-biologiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French; English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences générales,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-secondaire-sciences-generales.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences mathématiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-sciences-mathematiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences mathématiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-sciences-mathematiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences physiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-sciences-physiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences physiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-sciences-physiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sciences socio-politiques,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-avec-specialisation-sciences-socio-politiques.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - Cree,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-cree.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - French,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-french.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - German,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-german.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - Japanese,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-japanese.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - Other,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-other.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - Spanish,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-spanish.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Second Languages - Ukrainian,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-second-languages-ukrainian.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Secondary Education - Native Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-native-studies-secondary-education-native-studies.html,General / Major,Native Studies,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Social Sciences Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-social-sciences-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Social Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-social-studies.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sociologie,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-sociologie.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sociology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-sociology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sport Performance,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-sport-performance.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Statistics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-statistics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Strategic Management and Organization,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-strategic-management-and-organization.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sustainability Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-sustainability-studies.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Sustainable Agricultural Systems,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-sustainable-agricultural-systems.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Undeclared,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-undeclared-augustana.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Undeclared,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-undeclared.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Undeclared,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-undeclared.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Undeclared,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-undeclared.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Vente,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-vente.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Wildlife and Rangeland Resources Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-wildlife-and-rangeland-resources-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Women's and Gender Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-womens-and-gender-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Économie,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-economie.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Économie et droit des affaires,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-economie-et-droit-des-affaires.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Études canadiennes,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-avec-specialisation-etudes-canadiennes.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Études canadiennes,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-etudes-canadiennes.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Études interdisciplinaires,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-avec-specialisation-etudes-interdisciplinaires.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Études sociales,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-secondaire-etudes-sociales.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
