institution,program_name,credential,admission_type,source_url,notes_uncertain
NorQuest,Social Work,Diploma,,https://www.norquest.ca/programs-and-courses/programs/social-work/,
NorQuest,Solar Photovoltaic (PV) Systems and Installation,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/solar-systems-and-installation/,
NorQuest,Sustainability Coordinator,Diploma,,https://www.norquest.ca/programs-and-courses/programs/sustainability-coordinator/,
NorQuest,Taxi Ambassador,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/taxi-ambassador/,
NorQuest,Teaching English as a Second Language,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/teaching-english-as-a-second-language/,
NorQuest,Therapeutic Recreation,Diploma,,https://www.norquest.ca/programs-and-courses/programs/therapeutic-recreation/,
NorQuest,Tourism Supply Chain Fundamentals,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/tourism-supply-chain-fundamentals/,
NorQuest,Trades Pathways for Newcomers - Carpentry,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/trades-pathways-for-newcomers-carpentry/,
NorQuest,Transitions to Employment,Certificate,,https://www.norquest.ca/programs-and-courses/programs/transitions-to-employment/,
NorQuest,Upskilling For Data Analytics and Business Intelligence for Autistic Individuals,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/upskilling-for-data-analytics-and-business-intelligence/,
NorQuest,Veterinary Office Assistant,Certificate,,https://www.norquest.ca/programs-and-courses/programs/veterinary-office-assistant/,
NorQuest,Workplace Soft Skills,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/workplace-soft-skills/,
UAlberta,"Agricultural, Life and Environmental Sciences (ALES) (First-Year)",Degree,,https://www.ualberta.ca/en/agriculture-life-environment-sciences/programs/undergraduate-programs/admissions/index.html,
UAlberta,Art & Design (First-Year),Degree,,https://www.ualberta.ca/en/art-design/admissions/undergraduate-application/index.html,
UAlberta,Arts (First-Year),Degree,,https://www.ualberta.ca/en/arts/programs/undergraduate-programs/admissions/index.html,
UAlberta,Augustana (First-Year),Degree,,https://www.ualberta.ca/en/augustana/programs/admissions/index.html,
UAlberta,Business (Preprofessional Entry),Other,,https://www.ualberta.ca/en/business/programs/bachelor-of-commerce/degrees/bcom/admissions.html,
UAlberta,Campus Saint-Jean (First-Year),Degree,,https://www.ualberta.ca/en/campus-saint-jean/programs/undergraduate/admissions/index.html,
UAlberta,Education (First-Year),Degree,,https://www.ualberta.ca/en/education/programs/undergraduate-programs/admission-requirements.html,
UAlberta,Engineering (First-Year),Degree,,https://www.ualberta.ca/en/engineering/admissions-programs/undergraduate/admissions/index.html,
UAlberta,Kinesiology (BScKin) (First-Year),Degree,,https://www.ualberta.ca/en/kinesiology-sport-recreation/programs/undergraduate-programs/admissions/index.html,
UAlberta,Music (First-Year),Degree,,https://www.ualberta.ca/en/music/admissions/undergraduate-admissions/index.html,
UAlberta,Native Studies (First-Year),Degree,,https://www.ualberta.ca/en/native-studies/students/undergraduate.html,
UAlberta,Nursing (First-Year),Degree,,https://www.ualberta.ca/en/nursing/programs/undergraduate-programs-and-their-admissions-requirements/index.html,
UAlberta,Open Studies (First-Year),Other,,https://www.ualberta.ca/en/registrar/registration-and-courses/special-registrations/open-studies/index.html,
UAlberta,Science (First-Year),Degree,,https://www.ualberta.ca/en/science/programs/bachelor-of-science/admission-to-science/index.html,
MacEwan,Accounting,Other,,https://www.macewan.ca/academics/academic-departments/accounting-finance/academics/accounting-honours/,
MacEwan,Accounting,Other,,https://www.macewan.ca/academics/academic-departments/accounting-finance/academics/accounting-major/,
MacEwan,Accounting and Strategic Measurement,Other,,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/admissions/requirements/index.html,
MacEwan,Accounting Technology,Other,,https://www.macewan.ca/academics/programs/accounting-and-strategic-measurement/admissions/requirements/index.html,
MacEwan,Acupuncture,Other,,https://www.macewan.ca/academics/programs/acupuncture/admissions/requirements/index.html,
MacEwan,Alberta Foundation Program,Other,,https://www.macewan.ca/academics/programs/alberta-foundation-program/,
MacEwan,Anthropology,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-honours/,
MacEwan,Anthropology,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/anthropology-major/,
MacEwan,Applied Statistics,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/applied-statistics-honours/,
MacEwan,Applied Statistics,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/applied-statistics-major/,
MacEwan,Arts and Cultural Management,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Arts and Cultural Management,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Aviation Management,Other,,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,
MacEwan,Bachelor of Applied Human Service Administration,Other,,https://www.macewan.ca/academics/programs/bachelor-of-applied-human-service-administration/admissions/requirements/index.html,
MacEwan,Bachelor of Arts,Other,,https://www.macewan.ca/academics/programs/bachelor-of-arts/admissions/requirements/index.html,
MacEwan,Bachelor of Child and Youth Care,Other,,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/admissions/requirements/index.html,
MacEwan,Bachelor of Commerce,Other,,https://www.macewan.ca/academics/programs/bachelor-of-commerce/admissions/requirements/index.html,
